;filename;text;hit
47;./img/smoo15_BastianSchweinsteiger1_1.png;Schweinsteiger;1
132;./img/edges5_BastianSchweinsteiger3_1.png;Schweinsteiger;1
156;./img/gray_BastianSchweinsteiger1_1.png;Schweinsteiger;1
176;./img/gray_BastianSchweinsteiger6_2.png;Schweinsteiger;1
30;./img/smoo15_BastianSchweinsteiger3_1.png;Schweinsteiger;1
135;./img/edges5_BastianSchweinsteiger1_1.png;Schweinsteiger;1
204;./img/gray_TomCruise5_1.png;Tom Chruse;1
171;./img/gray_TomCruise4_1.png;Tom Chruse;1
147;./img/gray_TomCruise1_1.png;Tom Chruse;1
13;./img/smoo15_TomCruise4_1.png;Tom Chruse;1
93;./img/edges5_TomCruise1_1.png;Tom Cruse;1
8;./img/smoo15_TomCruise5_1.png;Tom Cruse;1
50;./img/smoo15_TomCruise1_1.png;Tom Cruse;1
121;./img/edges5_TomCruise5_1.png;Tom Cruse;1
78;./img/edges5_TomCruise4_1.png;Tom Cruse;1
68;./img/smoo15_WillSmith5_1.png;Will Smith;1
173;./img/gray_WillSmith1_1.png;Will Smith;1
65;./img/smoo15_WillSmith4_1.png;Will Smith;1
198;./img/gray_WillSmith5_1.png;Will Smith;1
104;./img/edges5_WillSmith5_1.png;Will Smith;1
15;./img/smoo15_WillSmith1_1.png;Will Smith;1
145;./img/gray_WillSmith4_1.png;Will Smith;1
84;./img/edges5_WillSmith4_1.png;Will Smith;1
85;./img/edges5_WillSmith1_1.png;Will Smith;1
12;./img/smoo15_RobertSeanLeonard(Wilson)2_6.png;der Freund von Dr Haus;0
70;./img/smoo15_RobertSeanLeonard(Wilson)8_1.png;der Freund von Dr Haus;0
203;./img/gray_HughLaurie(DrHouse)4_1.png;dr haus;1
27;./img/smoo15_GeorgeClooney4_2.png;georg Kluney;1
91;./img/edges5_GeorgeClooney4_2.png;georg Kluney;1
149;./img/gray_GuentherJauch3_1.png;günter Jauch;1
210;./img/gray_JoachimLoew1_1.png;löw;1
191;./img/gray_NicoleKidman7_1.png;nicole Kitman;1
62;./img/smoo15_NicoleKidman3_1.png;nicole Kitman;1
77;./img/edges5_EmilyDeschanel5_1.png;nicole Kitman;0
6;./img/smoo15_BarackObama2_1.png;obarma;1
49;./img/smoo15_UrsulavonderLeyen5_1.png;von der Line;1
136;./img/edges5_UrsulavonderLeyen1_1.png;von der Line;1
142;./img/edges5_UrsulavonderLeyen5_1.png;von der line;1
188;./img/gray_UrsulavonderLeyen4_1.png;von der line;1
43;./img/smoo15_UrsulavonderLeyen4_1.png;von der line;1
184;./img/gray_UrsulavonderLeyen1_1.png;von der line;1
3;./img/smoo15_UrsulavonderLeyen1_1.png;von der line;1
207;./img/gray_UrsulavonderLeyen5_1.png;von der line;1
75;./img/edges5_LisaEdelstein(DrLisaCuddy)2_2.png;;0
