;filename;text;hit
182;./greyInner/SigmarGabriel11_3_cut.png;gabriel;1
181;./greyInner/SigmarGabriel1_2_cut.png;gabriel;1
183;./greyInner/SigmarGabriel3_3_cut.png;gabriel;1
77;./greyInner/GeorgeClooney15_1_cut.png;george cloney;1
74;./greyInner/GuentherJauch7_1_cut.png;guenther jauch;1
196;./greyInner/UrsulavonderLeyen1_1_cut.png;hillary;0
197;./greyInner/UrsulavonderLeyen4_1_cut.png;hillary clinton;0
83;./greyInner/HughLaurie(DrHouse)5_3_cut.png;hugh laurie;1
82;./greyInner/HughLaurie(DrHouse)4_1_cut.png;hugh laurie;1
85;./greyInner/HughLaurie(DrHouse)9_2_cut.png;hugh laurie;1
72;./greyInner/GuentherJauch3_1_cut.png;jauch;1
73;./greyInner/GuentherJauch4_1_cut.png;jauch;1
71;./greyInner/GuentherJauch2_1_cut.png;jauch;1
110;./greyInner/JoachimLoew8_1_cut.png;jogi löw;1
109;./greyInner/JoachimLoew4_1_cut.png;jogi löw;1
108;./greyInner/JoachimLoew15_1_cut.png;jogi löw;1
133;./greyInner/LeonardoDiCaprio3_1_cut.png;leonardo di caprio;1
131;./greyInner/LeonardoDiCaprio1_1_cut.png;leonardo dicaprio;1
136;./greyInner/LisaEdelstein(DrLisaCuddy)1_1_cut.png;lisa cuddie;1
139;./greyInner/LisaEdelstein(DrLisaCuddy)6_3_cut.png;lisa cuddie;1
106;./greyInner/JoachimLoew1_1_cut.png;löw;1
8;./greyInner/AngelaMerkel4_1_cut.png;merkel;1
7;./greyInner/AngelaMerkel3_1_cut.png;merkel;1
6;./greyInner/AngelaMerkel1_1_cut.png;merkel;1
157;./greyInner/NicoleKidman3_1_cut.png;nicole kidman;1
158;./greyInner/NicoleKidman5_1_cut.png;nicole kidman;1
159;./greyInner/NicoleKidman7_1_cut.png;nicole kidman;1
156;./greyInner/NicoleKidman14_1_cut.png;nicole kidman;1
15;./greyInner/BarackObama5_2_cut.png;obama;1
14;./greyInner/BarackObama4_1_cut.png;obama;1
13;./greyInner/BarackObama2_1_cut.png;obama;1
12;./greyInner/BarackObama11_2_cut.png;obama;1
11;./greyInner/BarackObama1_3_cut.png;obama;1
164;./greyInner/OmarEpps(DrEricForeman)5_2_cut.png;omar epps;1
163;./greyInner/OmarEpps(DrEricForeman)3_1_cut.png;omar epps;1
162;./greyInner/OmarEpps(DrEricForeman)2_2_cut.png;omar eps der aus dr house;1
125;./greyInner/KaleyCuoco(Penny)7_1_cut.png;penny;1
124;./greyInner/KaleyCuoco(Penny)5_2_cut.png;penny;1
121;./greyInner/KaleyCuoco(Penny)10_1_cut.png;penny;1
122;./greyInner/KaleyCuoco(Penny)14_2_cut.png;penny;1
123;./greyInner/KaleyCuoco(Penny)3_1_cut.png;penny;1
174;./greyInner/SahraWagenknecht6_2_cut.png;sarah wagenknecht;1
172;./greyInner/SahraWagenknecht2_2_cut.png;sarah wagenknecht;1
17;./greyInner/BastianSchweinsteiger12_1_cut.png;schweini;1
16;./greyInner/BastianSchweinsteiger1_1_cut.png;schweinsteiger;1
19;./greyInner/BastianSchweinsteiger3_1_cut.png;schweinsteiger;1
20;./greyInner/BastianSchweinsteiger6_2_cut.png;schweinsteiger;1
18;./greyInner/BastianSchweinsteiger14_1_cut.png;schweinsteiger;1
104;./greyInner/JimParsons(SheldonCooper)8_1_cut.png;sheldon;1
102;./greyInner/JimParsons(SheldonCooper)10_1_cut.png;sheldon;1
101;./greyInner/JimParsons(SheldonCooper)1_1_cut.png;sheldon;1
185;./greyInner/SigmarGabriel8_2_cut.png;sigmar gabriel;1
186;./greyInner/TaylorSwift1_2_cut.png;taylor swift;1
187;./greyInner/TaylorSwift2_1_cut.png;taylor swift;1
190;./greyInner/TaylorSwift8_1_cut.png;taylor swift;1
188;./greyInner/TaylorSwift3_1_cut.png;taylor swift;1
189;./greyInner/TaylorSwift7_1_cut.png;tayor swift;1
195;./greyInner/TomCruise7_1_cut.png;tom cruise;1
192;./greyInner/TomCruise4_1_cut.png;tom cruise;1
175;./greyInner/SahraWagenknecht9_1_cut.png;wagenknecht;1
173;./greyInner/SahraWagenknecht5_1_cut.png;wagenknecht;1
210;./greyInner/WillSmith6_1_cut.png;will smith;1
208;./greyInner/WillSmith4_1_cut.png;will smith;1
207;./greyInner/WillSmith14_1_cut.png;will smith;1
206;./greyInner/WillSmith1_1_cut.png;will smith;1
209;./greyInner/WillSmith5_1_cut.png;will smith;1
2;./greyInner/AlysonHannigan(Lily)12_2_cut.png;willow;1
3;./greyInner/AlysonHannigan(Lily)14_2_cut.png;willow;1
4;./greyInner/AlysonHannigan(Lily)5_4_cut.png;willow;1
5;./greyInner/AlysonHannigan(Lily)8_3_cut.png;willow;1
1;./greyInner/AlysonHannigan(Lily)1_1_cut.png;willow;1
168;./greyInner/RobertSeanLeonard(Wilson)11_2_cut.png;wilson;1
