num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant
50,./img/smoo15_OmarEpps(DrEricForeman)2_2.png,0,49,49,49,,,1.ja,2.385,None,act,0.857,None,None,None,None,None,aus Dr House,"['a', 'u', 'c', 'backspace', 's', 'space', 'd', 'o', 'backspace', 'backspace', 'lshift', 'd', 'r', 'period', 'space', 'lshift', 'h', 'o', 'u', 's', 'e', 'return']","[1.149875811603124, 1.3331187342428166, 1.4497711424210138, 1.982508409941147, 2.2658151349132822, 2.515556509328235, 2.8487506259134534, 4.264799558355662, 4.764764112616831, 5.031658337718909, 5.864005766266928, 5.997932599204432, 6.230689851066927, 6.813769370453883, 6.963687203702648, 7.230612223294884, 7.397300221558908, 7.813838658052191, 8.06374298663468, 8.213591211508174, 8.463244051770744, 8.796673617880515]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
51,./img/smoo15_LeonardoDiCaprio1_1.png,0,50,50,50,,,1.ja,3.452,None,act,1.208,None,None,None,None,None,DiCaprio,"['lshift', 'd', 'i', 'lshift', 'c', 'a', 'p', 'r', 'o', 'backspace', 'i', 'o', 'return']","[1.5164197173271532, 1.6327561612233694, 1.8163076702985563, 2.4157926324842265, 2.5994246563132037, 2.798690336081563, 3.3151989083362423, 3.498529723578031, 3.7318156141536747, 4.364817810506793, 5.197823471238735, 5.447880489158706, 6.164385789499647]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
52,./img/smoo15_BastianSchweinsteiger3_1.png,0,51,51,51,,,2.nein,10.88,None,dummy,2.11,None,None,None,None,None,,['return'],[0.7173357891933847],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
53,./img/smoo15_GuentherJauch4_1.png,0,52,52,52,,,1.ja,1.458,None,None,None,host,1.361,None,None,None,Jauch,"['lshift', 'j', 'a', 'u', 'c', 'h', 'return']","[1.0667069561222888, 1.1832272046194703, 1.48327714943116, 1.59992538752158, 1.9331486947139638, 2.066148806023193, 2.899306835317475]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
54,./img/smoo15_LisaEdelstein(DrLisaCuddy)6_3.png,0,53,53,53,,,1.ja,2.211,None,act,1.444,None,None,None,None,None,Cuddy,"['lshift', 'c', 'u', 'd', 'd', 'y', 'return']","[1.1663842234702315, 1.3003315860660223, 1.5499869925370149, 1.700056232019051, 1.8499208164648735, 2.9161709876789246, 3.382684387610425]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
55,./img/smoo15_MariskaHargitay(Liv)4_4.png,0,54,54,54,,,1.ja,3.337,None,act,0.796,None,None,None,None,None,Mariska,"['lshift', 'm', 'a', 'r', 'i', 's', 'k', 'a', 'return']","[1.0001959940855158, 1.099937416618559, 1.4161461275452893, 1.6661983338253776, 1.8326855263658217, 2.099207009850943, 2.5991353164336033, 2.765837428840314, 5.36480754567674]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
56,./img/smoo15_MariskaHargitay(Liv)6_5.png,0,55,55,55,,,2.nein,12.166,None,dummy,1.454,None,None,None,None,None,,['return'],[0.6831827771566168],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
57,./img/smoo15_UrsulavonderLeyen5_1.png,0,56,56,56,,,2.nein,7.139,None,dummy,1.568,None,None,None,None,None,,['return'],[0.7834775381470536],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
58,./img/smoo15_EmilyDeschanel3_1.png,0,57,57,57,,,1.ja,2.207,None,act,2.343,None,None,None,None,None,Bones,"['lshift', 'b', 'o', 'n', 'e', 's', 'return']","[1.1004759993847983, 1.2337025784927391, 1.4504191097748844, 1.6668687554938515, 1.833571830227811, 2.3994564772838203, 2.8830335521979578]",2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
59,./img/smoo15_JoshRadnor(Ted)1_2.png,0,58,58,58,,,2.nein,2.639,None,dummy,0.893,None,None,None,None,None,,['return'],[0.4838009765062452],2016_Nov_30_1302,60.0406184635,famFaceFilter,1,jb
