num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
22,./img/edges5_JasonSegel(Marshall)6_1.png,0,16,16,21,,,1.ja,7.536,None,act,0.498,None,None,None,None,None,,['return'],[0.4670261090814165],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
32,./img/edges5_Ice-T(OdafinFinTutuola)7_1.png,0,17,17,31,,,1.ja,1.706,None,act,0.856,None,None,None,None,None,Morgan Freeman,"['lshift', 'm', 'o', 'r', 'g', 'a', 'n', 'space', 'lshift', 'f', 'r', 'e', 'e', 'm', 'a', 'n', 'return']","[0.3836347416654462, 0.5668900671407755, 0.7166353213106049, 0.8668364009863581, 1.0333140759612434, 1.1499845545404241, 1.2498931007394276, 1.3996662625922909, 1.5831673039992893, 1.8330671410749346, 1.9829461596618785, 2.066275616927669, 2.2494757685908553, 2.3661196225984895, 2.582731045949913, 2.6822918688230857, 3.2658518050648127]",2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
27,./img/edges5_OmarEpps(DrEricForeman)2_2.png,0,18,18,26,,,2.nein,2.988,None,dummy,5.87,None,None,None,None,None,,['return'],[0.5669227864964341],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
2,./img/edges5_OmarEpps(DrEricForeman)1_5.png,0,19,19,1,,,2.nein,3.356,None,None,None,music,1.737,None,None,None,,['return'],[1.2165325119694899],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
33,./img/edges5_BarackObama2_1.png,0,20,20,32,,,1.ja,1.256,None,None,None,None,None,polit,1.672,None,Barack Obama,"['lshift', 'b', 'a', 'r', 'a', 'c', 'k', 'space', 'lshift', 'o', 'n', 'b', 'backspace', 'backspace', 'b', 'a', 'm', 'a', 'return']","[0.28355842858582037, 0.6335878278860037, 0.7666648168469692, 0.9333551676209026, 0.999775455415147, 1.199954385370802, 1.333210368442451, 1.466421121816893, 1.5498711916025059, 1.6497980221465696, 1.8331572796869295, 2.2493997442106775, 2.599196900257084, 2.9164241852467967, 3.0324822986694926, 3.149173627814889, 3.2657764222403785, 3.4323423111600277]",2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
15,./img/edges5_LisaEdelstein(DrLisaCuddy)6_3.png,0,21,21,14,,,1.ja,3.022,None,dummy,0.556,None,None,None,None,None,,['return'],[1.0999617953420966],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
66,./img/edges5_BritneySpears1_1.png,0,22,22,65,,,1.ja,1.473,None,None,None,music,1.289,None,None,None,Britney Spears,"['lshift', 'b', 'r', 'i', 't', 'n', 'e', 'x', 'backspace', 'y', 'space', 'lshift', 's', 'p', 'e', 'e', 'backspace', 'e', 'backspace', 'a', 'r', 's', 'return']","[0.16752244884446554, 0.5841456768266653, 0.8174167043835041, 0.9504795791126526, 1.2001545508283016, 1.433739940803207, 1.5503430560056586, 1.8336965074649925, 2.1667224285702105, 2.2668449336797494, 2.5667267911521776, 2.6999211848506093, 2.8830491614698985, 3.1830307808922953, 3.3163772233510826, 3.4996803447465936, 3.9826696490454196, 4.0825214175438305, 4.549152328158016, 4.932276712062958, 5.61526146131655, 5.698532216212698, 6.198571832292146]",2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
41,./img/edges5_OmarEpps(DrEricForeman)3_1.png,0,23,23,40,,,2.nein,3.265,None,None,None,music,3.054,None,None,None,,['return'],[0.7834212960005971],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
36,./img/edges5_AngelaMerkel1_1.png,0,24,24,35,,,1.ja,3.256,None,None,None,None,None,polit,1.189,None,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'delete', 'return']","[0.28356452336629445, 0.5002208556361438, 0.7500847655792313, 0.9666086165452725, 1.0498030262824614, 1.1831392038475315, 1.333122154497687, 1.4497676123937708, 1.6163527479930053, 2.1494074749607535, 2.216094650031664, 3.0650900215277943, 3.098374265136954, 3.3991215815894975, 3.664874907815829, 3.7821574307727133, 4.064516149726842, 4.597822687406733]",2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
72,./img/edges5_EmilyDeschanel6_12.png,0,25,25,71,,,1.ja,2.74,None,act,0.557,None,None,None,None,None,,['return'],[0.8666907677852578],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
64,./img/edges5_EmilyDeschanel3_1.png,0,26,26,63,,,2.nein,1.356,None,act,2.622,None,None,None,None,None,,['return'],[0.5670523807984864],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
