num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_5.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
114,./greyInner/JoshRadnor(Ted)7_1_cut.png,0,27,27,113,,,1.ja,2.562,None,act,0.66,None,None,None,None,None,,['return'],[1.2331450996694002],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
127,./greyInner/KatjaBurkard10_1_cut.png,0,28,28,126,,,1.ja,3.046,None,None,None,host,1.379,None,None,None,,['return'],[4.1990089824798815],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
172,./greyInner/SahraWagenknecht2_2_cut.png,0,29,29,171,,,2.nein,2.764,None,None,None,host,3.053,None,None,None,,['return'],[0.7674313418674501],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
156,./greyInner/NicoleKidman14_1_cut.png,0,30,30,155,,,1.ja,5.409,None,act,2.861,None,None,None,None,None,,['return'],[16.893386223528523],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
189,./greyInner/TaylorSwift7_1_cut.png,0,31,31,188,,,1.ja,2.396,None,act,0.814,None,None,None,None,None,,['return'],[6.098041574362469],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
204,./greyInner/Usher4_1_cut.png,0,32,32,203,,,1.ja,4.059,None,None,None,music,1.41,None,None,None,Usher,"['lshift', 'u', 's', 'h', 'e', 'r', 'return']","[1.5167222578288602, 1.6333629733990165, 2.0158795689490034, 2.1331984132943944, 2.3330462352946597, 2.416127916771984, 2.732857680850884]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
173,./greyInner/SahraWagenknecht5_1_cut.png,0,33,33,172,,,2.nein,3.178,None,None,None,music,8.192,None,None,None,,['return'],[1.2501502853979218],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
191,./greyInner/TomCruise1_1_cut.png,0,34,34,190,,,1.ja,4.995,None,act,2.646,None,None,None,None,None,,['return'],[1.5999466863754606],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
211,./greyInner/notfamousface10_4_cut.png,0,35,35,210,,,2.nein,3.314,None,None,None,host,6.012,None,None,None,,['return'],[1.2332368427300935],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
17,./greyInner/BastianSchweinsteiger12_1_cut.png,0,36,36,16,,,1.ja,1.396,None,None,None,None,None,sport,2.83,None,Bastian Schweinsteiger,"['lshift', 'b', 'a', 's', 't', 'i', 'a', 'n', 'space', 'lshift', 's', 'c', 'h', 'w', 'e', 'i', 'n', 's', 't', 'e', 'i', 'g', 'e', 'r', 'return']","[1.3331306004170074, 1.4997087318224658, 2.682577351268719, 2.9325675674808735, 3.0656504999997196, 3.2990021819450703, 3.432361626765214, 3.5990449739879296, 3.7655342493526405, 3.8820011021998653, 4.082250219894831, 4.28187894920211, 4.448573523722644, 4.615200092898249, 4.7151310610565815, 4.865231368941295, 5.098288254129784, 5.281638043473322, 5.4312732204575696, 5.498087189268517, 5.664677831091467, 5.88135344751845, 5.981318097569783, 6.081346582827791, 6.264599175852254]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
187,./greyInner/TaylorSwift2_1_cut.png,0,37,37,186,,,1.ja,3.242,None,None,None,music,6.158,None,None,None,,['return'],[5.948312408858328],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
154,./greyInner/NeilPatrickHarris(Barney)2_2_cut.png,0,38,38,153,,,1.ja,1.98,None,act,1.463,None,None,None,None,None,,['return'],[2.7495007060365424],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
104,./greyInner/JimParsons(SheldonCooper)8_1_cut.png,0,39,39,103,,,1.ja,2.368,None,act,0.677,None,None,None,None,None,,['return'],[1.4997847566660312],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
89,./greyInner/Ice-T(OdafinFinTutuola)6_1_cut.png,0,40,40,88,,,1.ja,4.018,None,act,0.835,None,None,None,None,None,,['return'],[0.9834942686247814],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
118,./greyInner/JudithRakers4_3_cut.png,0,41,41,117,,,2.nein,2.712,None,None,None,host,3.278,None,None,None,,['return'],[1.033484613149085],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
27,./greyInner/Beyonce11_2_cut.png,0,42,42,26,,,1.ja,3.043,None,None,None,music,2.843,None,None,None,Beaunce,"['lshift', 'b', 'e', 'a', 'u', 'n', 'c', 'y', 'backspace', 'e', 'return']","[1.732777485868155, 2.7160369435832763, 10.995938926067538, 12.245496089371954, 12.478840714159105, 12.811863853298291, 16.427238771259, 16.54399304292474, 17.493330022884493, 19.242888790088728, 27.87276520641217]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
168,./greyInner/RobertSeanLeonard(Wilson)11_2_cut.png,0,43,43,167,,,2.nein,2.692,None,None,None,music,2.709,None,None,None,,['return'],[0.9165038708515567],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
12,./greyInner/BarackObama11_2_cut.png,0,44,44,11,,,1.ja,1.302,None,None,None,None,None,polit,1.633,None,Barack Obama,"['lshift', 'b', 'a', 'r', 'a', 'c', 'k', 'space', 'lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[1.4499987489584782, 1.716633594256109, 1.9332126559233984, 2.216502716044033, 2.299883364416928, 2.5163748531631427, 2.6825301966191546, 2.8495256627156778, 2.9992323736241815, 3.182727797056941, 3.415689089825719, 3.532698702317248, 3.7492280430951723, 3.9491323223633117, 4.665500952395632]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
141,./greyInner/MariskaHargitay(Liv)13_1_cut.png,0,45,45,140,,,2.nein,2.462,None,None,None,host,3.111,None,None,None,,['return'],[0.9834323580985256],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
107,./greyInner/JoachimLoew12_1_cut.png,0,46,46,106,,,2.nein,5.078,None,None,None,None,None,polit,7.563,None,,['return'],[1.10011252960021],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
46,./greyInner/CristinMilioti(Tracy_Mutter)10_1_cut.png,0,47,47,45,,,2.nein,4.109,None,act,3.243,None,None,None,None,None,,['return'],[0.4504632382991076],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
86,./greyInner/Ice-T(OdafinFinTutuola)10_1_cut.png,0,48,48,85,,,2.nein,6.229,None,dummy,2.129,None,None,None,None,None,,['return'],[0.6668466242081195],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
90,./greyInner/Ice-T(OdafinFinTutuola)7_1_cut.png,0,49,49,89,,,2.nein,4.623,None,None,None,music,2.956,None,None,None,,['return'],[0.5168284359860991],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
164,./greyInner/OmarEpps(DrEricForeman)5_2_cut.png,0,50,50,163,,,2.nein,3.339,None,dummy,0.753,None,None,None,None,None,,['return'],[0.8666373473811291],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
193,./greyInner/TomCruise5_1_cut.png,0,51,51,192,,,1.ja,4.427,None,act,0.661,None,None,None,None,None,,['return'],[0.7000733302925255],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
182,./greyInner/SigmarGabriel11_3_cut.png,0,52,52,181,,,1.ja,6.394,None,None,None,None,None,polit,1.087,None,,['return'],[0.7002943476654764],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
41,./greyInner/CobieSmulders(Robin)12_1_cut.png,0,53,53,40,,,1.ja,3.536,None,act,0.578,None,None,None,None,None,,['return'],[0.4503593056015234],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
10,./greyInner/AngelaMerkel6_1_cut.png,0,54,54,9,,,1.ja,2.976,None,None,None,None,None,polit,1.358,None,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[0.8834407625327003, 1.2665995595052664, 1.483107087247845, 1.6996559956014607, 1.8164032101090015, 2.1162827251669114, 2.2995965871582484, 2.4660553884291403, 2.599394303333611, 2.9658677321694995, 3.282622837863073, 3.432467804922453, 3.6158227267451366, 3.715634043989212, 3.849119234542286, 4.5986327717760105]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
63,./greyInner/EmilyDeschanel5_1_cut.png,0,55,55,62,,,2.nein,4.757,None,act,2.527,None,None,None,None,None,,['return'],[1.2331200788348724],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
165,./greyInner/OmarEpps(DrEricForeman)9_1_cut.png,0,56,56,164,,,2.nein,2.713,None,None,None,music,1.295,None,None,None,,['return'],[0.8832585595314413],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
99,./greyInner/JasonSegel(Marshall)7_1_cut.png,0,57,57,98,,,1.ja,1.86,None,act,0.978,None,None,None,None,None,,['return'],[1.1667436538505171],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
184,./greyInner/SigmarGabriel4_5_cut.png,0,58,58,183,,,1.ja,6.193,None,None,None,None,None,polit,1.079,None,Siegmar Gabriel,"['lshift', 's', 'i', 'e', 'g', 'm', 'a', 'r', 'space', 'lshift', 'g', 'a', 'b', 'r', 'i', 'e', 'l', 'return']","[1.0834063107677139, 1.4999704882461629, 1.7330139006771788, 1.8496668058851355, 2.0496746970711683, 2.332930112959275, 2.4826204640912692, 2.6496300445046472, 2.81609173279503, 2.8827462739805014, 3.2325157294435485, 3.4159296747739063, 3.5825466205510565, 3.715719371450632, 3.848996696608083, 3.9657253058794595, 4.115540119625166, 4.398870598016856]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
2,./greyInner/AlysonHannigan(Lily)12_2_cut.png,0,59,59,1,,,1.ja,2.347,None,act,0.832,None,None,None,None,None,,['return'],[1.0666888646378538],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
220,./greyInner/notfamousface5_1_cut.png,0,60,60,219,,,2.nein,3.45,None,None,None,None,None,polit,2.702,None,,['return'],[1.0834691836339516],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
