num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_5.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
170,./greyInner/RobertSeanLeonard(Wilson)8_1_cut.png,0,61,61,169,,,2.nein,2.952,None,dummy,2.635,None,None,None,None,None,,['return'],[0.9695347906199459],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
27,./greyInner/Beyonce11_2_cut.png,0,62,62,26,,,1.ja,7.045,None,None,None,music,0.962,None,None,None,Beyonce,"['lshift', 'b', 'e', 'y', 'o', 'n', 'c', 'e', 'return']","[1.9382923289722385, 2.2723597160711506, 2.4895159158695606, 2.7400747163028427, 2.9407020355483837, 3.1245162623126816, 3.258092020510958, 3.3918612096276775, 4.711616312610204]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
7,./greyInner/AngelaMerkel3_1_cut.png,0,63,63,6,,,1.ja,1.624,None,None,None,None,None,polit,1.09,None,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'e', 'r', 'k', 'e', 'l', u'\xf6', 'backspace', 'return']","[1.102862585134062, 1.3035370591824176, 1.470569629998863, 1.5874702315268223, 1.6874980753145792, 1.7711850161922484, 1.9717276492647215, 2.1051439793263853, 2.272462045197244, 2.3727587034281896, 2.606590701458117, 2.773497526137362, 2.907382837962359, 3.040914969948062, 3.12456951195054, 3.3250531213270733, 3.959564597585995, 4.4943802383531875]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
216,./greyInner/notfamousface14_6_cut.png,0,64,64,215,,,2.nein,2.442,None,None,None,None,None,sport,4.615,None,,['return'],[1.003078214096604],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
97,./greyInner/JasonSegel(Marshall)14_1_cut.png,0,65,65,96,,,1.ja,1.876,None,act,0.806,None,None,None,None,None,,['return'],[5.262994195147257],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
125,./greyInner/KaleyCuoco(Penny)7_1_cut.png,0,66,66,124,,,1.ja,2.866,None,act,1.546,None,None,None,None,None,Penny,"['lshift', 'p', 'e', 'n', 'n', 'y', 'return']","[3.3086368348922406, 3.5423623336428136, 3.7432119540953863, 4.010342940508053, 4.194126372300161, 5.112899500607455, 6.3827260094330995]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
83,./greyInner/HughLaurie(DrHouse)5_3_cut.png,0,67,67,82,,,1.ja,4.288,None,act,1.481,None,None,None,None,None,Dr House,"['lshift', 'd', 'r', 'period', 'space', 'lshift', 'h', 'o', 'u', 's', 'e', 'return']","[4.126875285495771, 4.310555105037565, 4.594708012338742, 4.811814170307116, 4.9955844500800595, 5.162654873049178, 5.296373057992241, 5.530239058804, 5.713974694232093, 5.864312861520375, 5.981177214800482, 8.520623970292945]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
139,./greyInner/LisaEdelstein(DrLisaCuddy)6_3_cut.png,0,68,68,138,,,1.ja,2.548,None,None,None,host,0.994,None,None,None,,['return'],[1.086286870562617],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
68,./greyInner/EmmaWatson(HermioneGranger)3_1_cut.png,0,69,69,67,,,1.ja,2.45,None,dummy,0.98,None,None,None,None,None,Emma Watson,"['lshift', 'e', 'm', 'm', 'a', 'space', 'lshift', 'w', 'a', 't', 's', 'o', 'n', 'return']","[0.9023144987877458, 1.0529304623869393, 1.2033786575448175, 1.3535753604301135, 1.43710255239057, 1.5704964277847466, 1.7543052012715634, 1.8380396177326475, 2.5731441538318904, 2.8404711374132603, 3.241403070260276, 3.491973418807902, 3.675698789245871, 4.093482629070422]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
180,./greyInner/Shakira9_1_cut.png,0,70,70,179,,,1.ja,3.402,None,None,None,music,0.678,None,None,None,Shakira,"['lshift', 's', 'h', 'a', 'k', 'i', 'r', 'a', 'return']","[0.651912881023236, 0.8023957205259649, 0.9693461714141449, 1.119575914739471, 1.6542933965320117, 1.8380396177308285, 1.9384716455297166, 2.072057989498717, 3.1412741804688267]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
215,./greyInner/notfamousface13_1_cut.png,0,71,71,214,,,2.nein,6.624,None,act,3.939,None,None,None,None,None,,['return'],[1.0527761667453888],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
137,./greyInner/LisaEdelstein(DrLisaCuddy)10_1_cut.png,0,72,72,136,,,1.ja,4.023,None,None,None,host,1.165,None,None,None,,['return'],[1.1701162381887116],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
206,./greyInner/WillSmith1_1_cut.png,0,73,73,205,,,1.ja,1.918,None,act,1.017,None,None,None,None,None,Will Smith,"['lshift', 'w', 'i', 'l', 'l', 'space', 'lshift', 's', 'm', 'i', 't', 'h', 'return']","[0.8190060794422607, 0.9192664894253539, 1.1698397250020207, 1.3871081981360476, 1.5375294476925774, 1.7043778902370832, 1.8213760091784934, 1.9382814224209142, 2.4897754276662454, 2.7571537362000527, 3.5756090347331337, 3.6926947268748336, 3.8594456520077074]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
130,./greyInner/KatjaBurkard7_1_cut.png,0,74,74,129,,,2.nein,8.33,None,None,None,None,None,sport,1.196,None,,['return'],[1.0362767980404897],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
64,./greyInner/EmilyDeschanel6_12_cut.png,0,75,75,63,,,2.nein,5.761,None,None,None,host,3.933,None,None,None,,['return'],[1.4874276318168995],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
113,./greyInner/JoshRadnor(Ted)6_2_cut.png,0,76,76,112,,,2.nein,7.396,None,act,4.423,None,None,None,None,None,,['return'],[1.0864475818252686],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
150,./greyInner/MilaKunis7_3_cut.png,0,77,77,149,,,1.ja,2.848,None,act,0.893,None,None,None,None,None,Milla Kunis,"['lshift', 'm', 'i', 'l', 'l', 'a', 'space', 'lshift', 'k', 'u', 'n', 'i', 's', 'return']","[1.1364708063647413, 1.3035781191447313, 1.5373433947333979, 1.7880613025245111, 1.9050151536921476, 2.523016033914246, 2.7069136637273914, 2.823757487027251, 2.9409349225243204, 3.391763050651207, 3.5922999096674175, 3.725941748742116, 4.060115635120383, 4.327521530816739]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
194,./greyInner/TomCruise6_1_cut.png,0,78,78,193,,,1.ja,2.084,None,act,0.664,None,None,None,None,None,Tom Cruise,"['lshift', 't', 'o', 'm', 'space', 'lshift', 'c', 'r', 'u', 'i', 's', 'e', 'return']","[0.4687665202181961, 0.7193586818721087, 0.9031517370931397, 1.0868344436621555, 1.2707147513046948, 1.4881448980431742, 1.77189586680106, 2.0223247509456996, 2.423542820408329, 2.607237395874108, 2.6907876840632525, 2.8076953427735134, 3.342223243018452]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
84,./greyInner/HughLaurie(DrHouse)8_1_cut.png,0,79,79,83,,,1.ja,3.551,None,act,0.946,None,None,None,None,None,,['return'],[0.7017247109124582],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
91,./greyInner/JanHofer1_3_cut.png,0,80,80,90,,,1.ja,13.145,None,None,None,host,12.677,None,None,None,,['return'],[1.2200419453183713],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
148,./greyInner/MilaKunis4_1_cut.png,0,81,81,147,,,1.ja,1.351,None,act,0.749,None,None,None,None,None,Milla Kunis,"['lshift', 'm', 'i', 'l', 'l', 'a', 'space', 'lshift', 'k', 'u', 'n', 'i', 's', 'pound', 'return']","[1.169841008124422, 1.387118142345571, 1.604231999055628, 1.8047807269667828, 1.955186579038127, 2.055125566499555, 2.2056478620597773, 2.4728641762085317, 3.0076400401358114, 3.224797843839042, 3.3916713072976563, 3.542215415962346, 3.5923919738033874, 4.1269641418221, 5.329843022629575]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
2,./greyInner/AlysonHannigan(Lily)12_2_cut.png,0,82,82,1,,,1.ja,2.088,None,act,0.802,None,None,None,None,None,Lilly,"['lshift', 'l', 'i', 'l', 'l', 'y', 'return']","[0.5018409619333397, 0.8194022439274704, 1.0366059193074761, 1.2536880187035422, 1.4039976364856557, 1.587842016660943, 2.673802332206833]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
151,./greyInner/NeilPatrickHarris(Barney)1_1_cut.png,0,83,83,150,,,1.ja,4.204,None,act,1.215,None,None,None,None,None,Barney Stinson,"['lshift', 'b', 'a', 'r', 'n', 'e', 'y', 'space', 'lshift', 's', 't', 'i', 'n', 's', 'o', 'n', 'return']","[16.52248385830171, 17.22460986619626, 17.37521107387147, 17.542246210934536, 17.69240666557198, 18.327351837690003, 18.544545248078066, 18.728324188936313, 18.811800697505532, 18.945577264585154, 19.162731539696324, 19.279726130047493, 19.429912567940846, 19.54682920851701, 19.64732026001184, 19.8309577364671, 20.41573084167794]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
147,./greyInner/MilaKunis10_1_cut.png,0,84,84,146,,,1.ja,3.321,None,act,1.016,None,None,None,None,None,Milla Kunis,"['lshift', 'm', 'i', 'l', 'l', 'a', 'space', 'lshift', 'k', 'n', 'backspace', 'u', 'n', 'i', 's', 'return']","[0.8361845414365234, 0.9699521266502416, 1.1370235119611607, 1.3374429651448736, 1.4878975759220339, 1.7886948449213378, 1.9723541344810656, 2.2726853087460768, 2.540318958925127, 2.7573221462043875, 3.208579800037114, 3.4757781504540617, 3.6763672967663297, 3.810022608642612, 3.9436516164787463, 4.361360072778552]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
154,./greyInner/NeilPatrickHarris(Barney)2_2_cut.png,0,85,85,153,,,1.ja,1.517,None,act,1.867,None,None,None,None,None,Barney Stinson,"['lshift', 'b', 'a', 'r', 'n', 'e', 'y', 'space', 'lshift', 's', 't', 'i', 'n', 's', 'o', 'n', 'return']","[0.8694469607926294, 1.2037555751721811, 1.4545604146023834, 1.654888445213146, 1.8218244609597605, 1.955611613810106, 2.1895084095922357, 2.3565550947714655, 2.4733389320299466, 2.5904159630863433, 2.8241555761997006, 2.8911757007135748, 3.0582352171295497, 3.1417976949960575, 3.308856569850832, 3.49266983427151, 3.9270351627255877]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
172,./greyInner/SahraWagenknecht2_2_cut.png,0,86,86,171,,,1.ja,2.155,None,None,None,None,None,polit,1.399,None,Sahra Wagenknecht,"['lshift', 's', 'a', 'h', 'r', 'a', 'space', 'lshift', 'w', 'a', 'g', 'e', 'n', 'k', 'n', 'e', 'c', 'h', 't', 'return']","[0.6685915662837942, 0.9862035316709807, 1.1699327514797915, 1.3705568629175104, 1.470748625773922, 1.5876594922938239, 1.754762634920553, 2.1221511442909105, 2.2892350400597934, 2.439670083198507, 2.6734084131876443, 2.740335832004348, 2.8570885535100388, 3.3919279320671194, 3.5756924377819814, 3.6037171456137003, 3.8262752967875713, 3.959976801121229, 4.1102816071907, 4.594834720817744]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
221,./greyInner/notfamousface6_8_cut.png,0,87,87,220,,,2.nein,4.954,None,None,None,None,None,sport,2.293,None,,['return'],[1.1033453604813985],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
202,./greyInner/Usher11_1_cut.png,0,88,88,201,,,1.ja,5.842,None,None,None,music,1.615,None,None,None,Usher,"['lshift', 'u', 's', 'h', 'e', 'r', 'return']","[0.9195407571460237, 1.1368134004314925, 1.3372658940552355, 1.4707492673369416, 1.5879388925095554, 1.68805110168978, 2.07240571606053]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
120,./greyInner/JudithRakers8_1_cut.png,0,89,89,119,,,1.ja,4.917,None,None,None,host,0.978,None,None,None,,['return'],[0.7688843751457171],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
101,./greyInner/JimParsons(SheldonCooper)1_1_cut.png,0,90,90,100,,,1.ja,1.434,None,act,0.665,None,None,None,None,None,Jim Parsons,"['lshift', 'j', 'i', 'o', 'm', 'backspace', 'backspace', 'm', 'space', 'lshift', 'p', 'a', 'r', 's', 'o', 'n', 's', 'return']","[0.6353422989468527, 0.8525899213182129, 1.06988951020503, 1.2033873186301207, 1.9550685316444287, 2.139006900639288, 2.372891506745873, 2.623295369974585, 2.8740739053664583, 3.024453774180074, 3.2249393082420283, 3.4253090403763053, 3.525618850628234, 3.67602823128982, 3.8429963251328445, 3.9599729517485684, 4.260819300234289]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
43,./greyInner/CobieSmulders(Robin)3_4_cut.png,0,91,91,42,,,1.ja,2.715,None,act,1.246,None,None,None,None,None,Robin,"['lshift', 'r', 'o', 'v', 'b', 'i', 'backspace', 'backspace', 'backspace', 'b', 'i', 'n', 'return']","[0.5851343045724207, 0.869186807434744, 1.102832752505492, 1.3705857332024607, 1.4371282148658793, 1.9215883020169713, 2.0720438751359325, 2.2893941474158055, 2.406129867529671, 2.5895415141894773, 2.757087334541211, 3.007567543638288]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
218,./greyInner/notfamousface3_3_cut.png,0,92,92,217,,,2.nein,3.411,None,act,2.602,None,None,None,None,None,,['return'],[0.8857926754153596],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
205,./greyInner/Usher7_1_cut.png,0,93,93,204,,,1.ja,2.133,None,None,None,music,1.13,None,None,None,Usher,"['lshift', 'u', 's', 'h', 'e', 'r', 'return']","[0.7019425211856287, 0.9693856274734571, 1.0863125330415642, 1.203261572494739, 1.3368979582937754, 1.4539647243600484, 1.7212188906632946]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
55,./greyInner/DannFlorek(DonaldDonCragen)8_1_cut.png,0,94,94,54,,,2.nein,6.55,None,None,None,None,None,polit,0.784,None,,['return'],[1.3202324250523816],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
34,./greyInner/BritneySpears7_1_cut.png,0,95,95,33,,,1.ja,1.734,None,None,None,music,0.731,None,None,None,Britney Spears,"['lshift', 'lshift', 'b', 'r', 'i', 't', 'n', 'e', 'y', 'space', 'lshift', 's', 'p', 'e', 'a', 'r', 's', 'return']","[0.7353024579533667, 1.3535849838590366, 1.5204738448046555, 1.7210479144105193, 1.821288756756985, 1.9884326385654276, 2.3562243696014775, 2.4395430539370864, 2.5731804020797426, 2.7569513234138867, 2.890318253206715, 3.0242792693388765, 3.157975320396872, 3.291757340752156, 3.675861104411524, 3.8761044488474, 4.109985847144344, 4.544416294133043]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
