num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,key_resp_5.rt,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
60,./greyInner/ElvisPresley6_1_cut.png,0,73,73,59,,,1.ja,1.262,None,,None,None,music,0.595,None,None,None,elvis,"['e', 'l', 'v', 'i', 's', 'return']","[0.8167644620889405, 0.9835676745176443, 1.2331291669447637, 1.3166085625421147, 1.5331802994298869, 1.6499853082320897]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
168,./greyInner/RobertSeanLeonard(Wilson)11_2_cut.png,0,74,74,167,,,1.ja,1.269,None,,act,0.827,None,None,None,None,None,wilson,"['w', 'i', 'l', 's', 'o', 'n', 'return']","[0.6168460687649713, 0.783529950676666, 0.9666160046601817, 1.049889779661953, 1.133104851747703, 1.2665978484578773, 1.7330640484096875]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
16,./greyInner/BastianSchweinsteiger1_1_cut.png,0,75,75,15,,,1.ja,1.573,None,,None,None,None,None,sport,1.19,None,schweinsteiger,"['s', 'c', 'h', 'w', 'e', 'i', 'n', 's', 't', 'e', 'i', 'g', 'e', 'r', 'return']","[0.7167192961296678, 0.9499068452091706, 1.0000115481145713, 1.1832381041590452, 1.3332349605054787, 1.4163669503227538, 1.4832029465655978, 1.566489552805706, 1.7831129354281074, 1.9829883441032052, 2.066010626831712, 2.182826221405776, 2.349557258118466, 2.4160096003327, 2.4827872144408047]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
114,./greyInner/JoshRadnor(Ted)7_1_cut.png,0,76,76,113,,,1.ja,4.84,None,,act,0.492,None,None,None,None,None,,['return'],[0.6833632087334536],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
115,./greyInner/JoshRadnor(Ted)9_1_cut.png,0,77,77,114,,,2.nein,7.094,None,,act,2.895,None,None,None,None,None,,['return'],[1.2665670534856872],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
58,./greyInner/ElvisPresley4_10_cut.png,0,78,78,57,,,1.ja,1.108,None,,None,None,music,0.713,None,None,None,elvis,"['e', 'l', 'v', 'i', 's', 'return']","[0.7002587419226529, 0.8336474848206308, 1.2834850413421464, 1.3501237572945683, 1.5167816559483072, 1.7832585699841275]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
157,./greyInner/NicoleKidman3_1_cut.png,0,79,79,156,,,1.ja,1.228,None,,act,0.581,None,None,None,None,None,nicole kidman,"['n', 'i', 'c', 'o', 'l', 'e', 'space', 'k', 'i', 'd', 'm', 'a', 'n', 'return']","[0.7669808609248321, 1.0332919312040758, 1.3167330255546403, 1.4333490943713514, 1.616606445387788, 1.6998301785595231, 1.7997544100967389, 1.9165122640977188, 2.0496944240571793, 2.1494326026370345, 2.2495047141969735, 2.382969161401661, 2.4330068210863374, 2.616081647736337]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
70,./greyInner/EmmaWatson(HermioneGranger)9_1_cut.png,0,80,80,69,,,1.ja,1.629,None,,act,0.564,None,None,None,None,None,emma watson,"['e', 'm', 'm', 'a', 'space', 'w', 'a', 't', 's', 'o', 'n', 'return']","[0.6335488125971551, 0.8000245076652845, 0.9333353007898495, 1.0333734095679574, 1.1667618316848802, 1.283288081832552, 1.466696841462408, 1.7162968276045376, 1.9331277555083943, 2.066299650477049, 2.0912403701554467, 2.3162200967988156]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
105,./greyInner/JimParsons(SheldonCooper)9_3_cut.png,0,81,81,104,,,2.nein,11.949,None,,dummy,1.26,None,None,None,None,None,,['return'],[1.050038301246559],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
19,./greyInner/BastianSchweinsteiger3_1_cut.png,0,82,82,18,,,1.ja,1.329,None,,None,None,None,None,sport,1.013,None,schweinsteiger,"['s', 'c', 'h', 'w', 'e', 'i', 'n', 's', 't', 'e', 'i', 'g', 'e', 'r', 'return']","[0.7004717404804524, 0.8835783244455797, 0.9336223997495381, 1.1167277005906726, 1.266785505319831, 1.3334226173674324, 1.4001254895117654, 1.46670325708169, 1.6665873268425457, 1.8667350785528924, 1.9165905346519594, 2.049584075406756, 2.166484035373287, 2.2330268378182154, 2.366450225059907]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
