num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
129,./greyInner/KatjaBurkard5_3_cut.png,0,24,24,128,,,1.ja,3.385,None,None,None,host,2.284,None,None,None,Burkardt,"['lshift', 'b', 'u', 'r', 'k', 'a', 'r', 'd', 'backspace', 'k', 't', 'backspace', 'backspace', 'd', 't', 'return']","[3.8992221504740883, 4.015767740271258, 4.265716656704171, 4.432230152870034, 4.615597536569112, 5.398534246516647, 5.681772966992867, 6.181575529415568, 7.1478860385796, 7.481104854909063, 7.614386607474444, 11.396174939636694, 11.546041769513977, 13.428670181729103, 13.578279749319336, 19.576012505127437]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
171,./greyInner/SahraWagenknecht12_1_cut.png,0,25,25,170,,,1.ja,2.296,None,None,None,None,None,polit,1.21,None,,['return'],[2.4825817072378413],2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
137,./greyInner/LisaEdelstein(DrLisaCuddy)10_1_cut.png,0,26,26,136,,,1.ja,3.197,None,act,1.362,None,None,None,None,None,,['return'],[1.3668467181887536],2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
160,./greyInner/NicoleKidman8_2_cut.png,0,27,27,159,,,1.ja,1.909,None,dummy,0.842,None,None,None,None,None,Nicole Kidmann,"['lshift', 'n', 'i', 'c', 'o', 'l', 'e', 'space', 'lshift', 'k', 'i', 'd', 'm', 'a', 'n', 'n', 'return']","[1.149874849274056, 1.2832236440081033, 1.49991836252957, 1.6998169331818644, 1.8495897757165949, 2.0328859471592295, 2.149497937571141, 2.2994234694415354, 2.5826538497422007, 2.715980510936788, 2.8826438094583864, 2.999085147079313, 3.399073791613773, 3.548992907963111, 4.082190809705935, 6.1480239722259284, 10.280354624192114]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
127,./greyInner/KatjaBurkard10_1_cut.png,0,28,28,126,,,1.ja,1.695,None,None,None,host,1.062,None,None,None,Burkardt,"['lshift', 'b', 'u', 'r', 'k', 'a', 'd', 'r', 'backspace', 'backspace', 'r', 'd', 't', 'return']","[1.1002402290832833, 1.2333301576509257, 1.4832630352902925, 1.6831446048199723, 1.7831041549761721, 2.4661355258976982, 2.7162300746022083, 2.9493286320393963, 3.7824407903790416, 3.948814428244077, 4.21550496063719, 4.4487196389600285, 4.598561769089429, 5.4979863291700894]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
97,./greyInner/JasonSegel(Marshall)14_1_cut.png,0,29,29,96,,,1.ja,1.538,None,act,1.621,None,None,None,None,None,,['return'],[1.1999162133288337],2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
131,./greyInner/LeonardoDiCaprio1_1_cut.png,0,30,30,130,,,1.ja,1.771,None,act,1.118,None,None,None,None,None,Leonardo Di Caprio,"['lshift', 'd', 'i', 'k', 'a', 'p', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'lshift', 'l', 'e', 'o', 'n', 'a', 'r', 'd', 'o', 'space', 'lshift', 'd', 'i', 'space', 'lshift', 'c', 's', 'p', 'backspace', 'backspace', 'a', 'p', 'r', 'i', 'o', 'return']","[1.8497119913445204, 2.0329388751888473, 2.149495050591213, 2.9658553281369677, 3.0658312378654955, 3.9154421847924823, 5.19836494098854, 5.364925591216888, 5.481456746096228, 5.631465679703979, 5.748136051333859, 5.84800642578557, 7.047261519946915, 7.16411665850319, 7.364124613748572, 7.497417593469436, 7.880362771902583, 7.980415667851048, 8.213733636021061, 8.430257060201257, 8.596910735443089, 8.863464296518941, 9.129881848606601, 9.263176432210457, 9.396571097899141, 9.66325136546584, 9.979729528164171, 10.029686848927668, 10.296210898621212, 10.46289280214478, 11.478816118735267, 11.678868341055932, 12.01208651583147, 12.312002055532503, 12.828606219012727, 12.94512582596144, 13.11171181748432, 14.862305653903604]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
83,./greyInner/HughLaurie(DrHouse)5_3_cut.png,0,31,31,82,,,1.ja,1.41,None,act,0.794,None,None,None,None,None,,['return'],[1.3001676695712376],2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
73,./greyInner/GuentherJauch4_1_cut.png,0,32,32,72,,,1.ja,1.395,None,None,None,host,2.295,None,None,None,Günther Jauch,"['lshift', 'g', u'\xfc', 'n', 't', 'h', 'e', 'r', 'space', 'lshift', 'j', 'a', 'u', 'c', 'h', 'return']","[1.68320523147122, 1.8330293981525756, 2.232804726696486, 2.53286942719933, 2.866066109992971, 2.9991133753610484, 3.149254468647996, 3.3491260941264045, 3.46568226952877, 3.6490127639954153, 3.8156487965607084, 3.9486505117492925, 4.082255606441322, 4.232049620186444, 4.348768428979383, 6.331401620751421]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
8,./greyInner/AngelaMerkel4_1_cut.png,0,33,33,7,,,1.ja,1.342,None,None,None,None,None,polit,1.478,None,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[0.8500298802755424, 1.0000189257771126, 1.1165805543714669, 1.349804855970433, 1.4830914201738779, 1.6830952053278452, 1.8159901021354017, 2.032812810248288, 2.4826776192385296, 2.6493919211279717, 2.8491464633953, 3.0490953958687896, 3.1658209409579285, 3.282261957803712, 3.398906346581498, 5.064900346147624]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
