img,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,date,group,expName,participant,frameRate,
./basicStim/07F_SP_O.jpg,0,75,75,33,,,None,None,None,None,SUP,1.192,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/28M_NE_C.jpg,0,76,76,69,,,None,None,None,None,DIS,7.749,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/03F_AN_O.jpg,0,77,77,14,,,None,None,ANG,2.885,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/06F_SA_C.jpg,0,78,78,25,,,SAD,2.691,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/24M_HA_O.jpg,0,79,79,59,,,HAP,2.153,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/02F_DI_O.jpg,0,80,80,8,,,None,None,None,None,DIS,1.892,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/36M_HA_O.jpg,0,81,81,80,,,HAP,2.332,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/07F_AN_O.jpg,0,82,82,28,,,None,None,ANG,2.102,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/01F_NE_C.jpg,0,83,83,6,,,None,None,None,None,None,None,NTR,1.698,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
,,,,,,,,,,,,,,,return,125.000087976,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
