num,pic,learn1,learn2,learn3,recall2,recall3,recall1,bart_loop.thisRepN,bart_loop.thisTrialN,bart_loop.thisN,bart_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,rating_1.response,rating_1.rt,key_resp_3.keys,key_resp_3.rt,rating_4.response,rating_4.rt,rating_5.response,rating_5.rt,rating_6.response,rating_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
9,./stim/Novel60LA022_T2.jpg,,,,,,,,,,,,,,,0,22,22,8,,,,,,,,,,,,,,,,,,,,,,,3,9.084,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
29,./stim/NovelHLFA049_T3.jpg,,,,,,,,,,,,,,,0,23,23,28,,,,,,,,,,,,,,,,,,,,,,,1,20.95,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
6,./stim/Novel30RHSA076_T2.jpg,,,,,,,,,,,,,,,0,24,24,5,,,,,,,,,,,,,,,,,,,,,,,3,10.467,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
3,./stim/Novel30RHSA022_T1.jpg,,,,,,,,,,,,,,,0,25,25,2,,,,,,,,,,,,,,,,,,,,,,,3,6.318,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
5,./stim/Novel30RHSA049_T3.jpg,,,,,,,,,,,,,,,0,26,26,4,,,,,,,,,,,,,,,,,,,,,,,1,8.034,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
28,./stim/NovelHLFA040_T1.jpg,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,3,13.55,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
13,./stim/Novel60RA004_T2.jpg,,,,,,,,,,,,,,,0,28,28,12,,,,,,,,,,,,,,,,,,,,,,,1,15.483,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
25,./stim/NovelHLFA004_T3.jpg,,,,,,,,,,,,,,,0,29,29,24,,,,,,,,,,,,,,,,,,,,,,,2,9.651,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,15.2655852118,,,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
19,./stim/NoiseFLSA004_T2.jpg,,,,,,,,,,,,,,,,,,,0,0,0,18,,,,,,,,,,,,,,,,,,,,,2,11.884,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
2,./stim/Noise30LA011_T1.jpg,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,2,26.599,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
8,./stim/Noise60RA011_T3.jpg,,,,,,,,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,1,6.567,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
18,./stim/NoiseFHSA076_T3.jpg,,,,,,,,,,,,,,,,,,,0,3,3,17,,,,,,,,,,,,,,,,,,,,,3,5.151,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
