num,pic,learn1,learn2,learn3,recall2,recall3,recall1,bart_loop.thisRepN,bart_loop.thisTrialN,bart_loop.thisN,bart_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,rating_1.response,rating_1.rt,key_resp_3.keys,key_resp_3.rt,rating_4.response,rating_4.rt,rating_5.response,rating_5.rt,rating_6.response,rating_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
24,./stim/NovelFBLA076_T2.jpg,,,,,,,,,,,,,,,0,26,26,23,,,,,,,,,,,,,,,,,,,,,,,2,6.267,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
14,./stim/Novel60RA011_T1.jpg,,,,,,,,,,,,,,,0,27,27,13,,,,,,,,,,,,,,,,,,,,,,,1,2.668,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
16,./stim/Novel60RA040_T3.jpg,,,,,,,,,,,,,,,0,28,28,15,,,,,,,,,,,,,,,,,,,,,,,2,2.452,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
9,./stim/Novel60LA022_T2.jpg,,,,,,,,,,,,,,,0,29,29,8,,,,,,,,,,,,,,,,,,,,,,,2,8.849,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.11600337718,,,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
23,./stim/NoiseFLSA049_T1.jpg,,,,,,,,,,,,,,,,,,,0,0,0,22,,,,,,,,,,,,,,,,,,,,,1,12.448,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
20,./stim/NoiseFLSA011_T1.jpg,,,,,,,,,,,,,,,,,,,0,1,1,19,,,,,,,,,,,,,,,,,,,,,1,2.668,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
12,./stim/Noise60RA076_T2.jpg,,,,,,,,,,,,,,,,,,,0,2,2,11,,,,,,,,,,,,,,,,,,,,,2,2.718,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
5,./stim/Noise30LA049_T2.jpg,,,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,2,7.367,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
22,./stim/NoiseFLSA040_T1.jpg,,,,,,,,,,,,,,,,,,,0,4,4,21,,,,,,,,,,,,,,,,,,,,,1,3.018,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
7,./stim/Noise60RA004_T1.jpg,,,,,,,,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,1,7.5,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
